ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000095	Kernkorpus/TextGrid	Gustavs Verirrungen	Fischer, Caroline Auguste	118890263	1801	f	Roman	galanter Roman::Bekehrungsroman::Prüfungsroman				homodiegetisch	kein Happyend	Romantik					de	textgrid:mx80.0
k00100000096	Kernkorpus/TextGrid	Die Honigmonathe	Fischer, Caroline Auguste	118890263	1802	f	Roman	Briefroman			Brief	homodiegetisch	kein Happyend	Romantik					de	textgrid:mx7n.0
k00100000097	Kernkorpus/TextGrid	Der Günstling	Fischer, Caroline Auguste	118890263	1808	f	Roman	-				homodiegetisch	kein Happyend	Romantik					de	textgrid:mx7s.0
k00100000098	Kernkorpus/TextGrid	Margarethe	Fischer, Caroline Auguste	118890263	1812	f	Roman	-				homodiegetisch	Happyend	Romantik					de	textgrid:mx7c.0
k00100000099	Kernkorpus/TextGrid	Hannchens Hin- und Herzüge	Fischer, Christian August	115361413	1807	m	Roman	-				homodiegetisch	unbestimmbar	Romantik					de	textgrid:mx9n.0
k00100000100	Kernkorpus/TextGrid	Madame Bovary	Flaubert, Gustave	118533754	1857	m	Roman	Liebesroman::Gesellschaftsroman::Eheroman::Psychologischer Roman	Gesellschaftsroman	Zeit und Gesellschaft/Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (1)	Naturalismus			fr	textgrid:mz31.0
k00100000101	Kernkorpus/TextGrid	Die Schule der Empfindsamkeit	Flaubert, Gustave	118533754	1869	m	Roman	Zeitroman		Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (1)	Naturalismus			fr	textgrid:mz2x.0
k00100000102	Kernkorpus/TextGrid	Seefahrt ist not!	Fock, Gorch	118691988	1913	m	Roman	Heimatroman::Fischerroman	Heimatroman::Abenteuerroman::Jugendroman	Zeit und Gesellschaft		heterodiegetisch	Happyend	Moderne	Moderne (1)				de	textgrid:n0x8.0
k00100000103	Kernkorpus/TextGrid	Vor dem Sturm	Fontane, Theodor	118534262	1878	m	Roman	Historischer Roman	historischer Roman	Populäre Unterhaltung		heterodiegetisch	Happyend?	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n11c.0
k00100000104	Kernkorpus/TextGrid	Grete Minde	Fontane, Theodor	118534262	1879	m	Roman	Historische Roman	Kriminalgeschichte	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (2)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1mm.0
k00100000105	Kernkorpus/TextGrid	L Adultera	Fontane, Theodor	118534262	1880	m	Roman	Gegenwartsroman::Eheroman::Berlinroman::Gesellschaftsroman	Gesellschaftroman::Eheroman::historischer Roman	Zeit und Gesellschaft		heterodiegetisch	Happyend	Realismus	Realismus (3)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1mv.0
k00100000106	Kernkorpus/TextGrid	Ellernklipp	Fontane, Theodor	118534262	1881	m	Roman	Kriminalroman	Kriminalgeschichte	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (2)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n13f.0
k00100000107	Kernkorpus/TextGrid	Schach von Wuthenow	Fontane, Theodor	118534262	1882	m	Roman	Gesellschaftsroman::historischer Roman	historischer Roman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (3)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1dg.0
k00100000108	Kernkorpus/TextGrid	Graf Petöfy	Fontane, Theodor	118534262	1884	m	Roman	Gesellschaftsroman::Eheroman	Gesellschaftsroman::Eheroman::Mésalliance-Roman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (2)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1zq.0
k00100000109	Kernkorpus/TextGrid	Unterm Birnbaum	Fontane, Theodor	118534262	1885	m	Roman	Kriminalroman::Detektivroman	Kriminalroman	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (3)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1vv.0
k00100000110	Kernkorpus/TextGrid	Cécile	Fontane, Theodor	118534262	1887	m	Roman	Gesellschaftsroman::Eheroman::Zeitroman	Frauenroman::Eheroman::Mésalliance-Roman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1s9.0
k00100000111	Kernkorpus/TextGrid	Irrungen, Wirrungen	Fontane, Theodor	118534262	1887	m	Roman	Sozialer Roman::Gesellschaftsroman::Großstadtroman	Gesellschaftsroman::Berliner Roman::Liebesroman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n121.0
k00100000112	Kernkorpus/TextGrid	Stine	Fontane, Theodor	118534262	1890	m	Roman	Liebesroman	Gesellschaftsroman::Berliner Sittenroman::Liebesroman	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (2)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n0zz.0
k00100000113	Kernkorpus/TextGrid	Quitt	Fontane, Theodor	118534262	1890	m	Roman	Kriminalroman	Kriminalroman	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1jg.0
k00100000114	Kernkorpus/TextGrid	Unwiederbringlich	Fontane, Theodor	118534262	1892	m	Roman	Eheroman::Ehebruchsroman	Eheroman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1zb.0
k00100000115	Kernkorpus/TextGrid	Frau Jenny Treibel	Fontane, Theodor	118534262	1892	m	Roman	Gesellschaftsroman::Satirischer Roman::Großstadtroman::Zeitroman::gesellschaftskritischer Roman	Gesellschaftsroman::Berliner Roman	Zeit und Gesellschaft		heterodiegetisch	Happyend	Realismus	Realismus (3)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n100.0
